	arabidopsis_thaliana	ceratopteris_richardii	chlamydomonas_reinhardtii	klebsormidium_nitens	marchantia_polymorpha	mesotaenium_endlicherianum	oryza_sativa	ostreococcus_tauri	porphyra_umbilicalis	selaginella_moellendorffii	solanum_lycopersicum
arabidopsis_thaliana	0.0	15.0	28.0	34.0	33.0	28.0	11.0	30.0	16.0	26.0	6.0
ceratopteris_richardii	9.0	0.0	24.0	20.0	21.0	20.0	9.0	25.0	15.0	30.0	12.0
chlamydomonas_reinhardtii	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	4.0	0.0	0.0
klebsormidium_nitens	0.0	0.0	2.0	0.0	2.0	2.0	0.0	2.0	2.0	0.0	0.0
marchantia_polymorpha	2.0	2.0	6.0	2.0	0.0	6.0	0.0	4.0	3.0	6.0	0.0
mesotaenium_endlicherianum	0.0	0.0	2.0	5.0	5.0	0.0	0.0	4.0	6.0	5.0	0.0
oryza_sativa	17.0	14.0	24.0	31.0	28.0	27.0	0.0	26.0	12.0	23.0	4.0
ostreococcus_tauri	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0
porphyra_umbilicalis	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	7.0	0.0
selaginella_moellendorffii	2.0	0.0	11.0	10.0	10.0	7.0	0.0	13.0	8.0	0.0	0.0
solanum_lycopersicum	16.0	13.0	24.0	26.0	38.0	23.0	17.0	22.0	6.0	40.0	0.0
