	arabidopsis_thaliana	ceratopteris_richardii	chlamydomonas_reinhardtii	klebsormidium_nitens	marchantia_polymorpha	mesotaenium_endlicherianum	oryza_sativa	ostreococcus_tauri	porphyra_umbilicalis	selaginella_moellendorffii	solanum_lycopersicum
'4	8.6	0.0	0.0	21.1	19.0	21.1	7.5	0.0	80.0	21.1	0.0
'5	10.8	16.9	0.0	0.0	0.0	26.3	4.7	0.0	0.0	52.6	15.6
'6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.1
'7	7.5	0.0	0.0	36.8	0.0	0.0	0.0	0.0	0.0	0.0	5.5
'8	0.0	40.7	0.0	0.0	0.0	0.0	7.5	0.0	0.0	0.0	0.0
'9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
'10	10.8	16.9	0.0	0.0	0.0	0.0	9.4	0.0	0.0	0.0	0.0
11-15	38.7	0.0	0.0	0.0	0.0	0.0	34.9	0.0	0.0	0.0	0.0
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3
21-50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
